Наименование;Адрес;Район
Государственное бюджетное дошкольное образовательное учреждение детский сад № 29 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно - речевому развитию детей Приморского района Санкт - Петербурга;Санкт-Петербург г, Испытателей пр-кт, 21, А, 197227;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 32 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Испытателей пр-кт, 6, А, 2, 197227;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №83 комбинированного вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Итальянская ул, 31, А, 191011;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 3 общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей Выборгского района Санкт-Петербурга;Санкт-Петербург г, Калязинская ул, 6, А, 194017;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 13 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Каменноостровский пр-кт, 18/11, А, 197101;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад №29 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Каменноостровский пр-кт, 27, Б, 197022;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 17 Петроградского района Санкт- Петербурга;Санкт-Петербург г, Каменноостровский пр-кт, 29, А, 197022;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 83 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Камышовая ул, 12, А, 2, 197372;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 81 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Камышовая ул, 22, А, 2, 197372;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №87 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Камышовая ул, 30, А, 2, 197372;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №85 Приморского района Санкт-Петербурга;Санкт-Петербург г, Камышовая ул, 6, А, 3, 197372;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 1 Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, Канонерская ул, 6, 190008;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №74 Кировского района Санкт-Петербурга;Санкт-Петербург г, Канонерский остров, 20, А, 198184;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №130 общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей Невского района Санкт-Петербурга;Санкт-Петербург г, Караваевская ул, 10, 3 литер А, 192177;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 70 Невского района Санкт-Петербурга;Санкт-Петербург г, Караваевская ул, 25, А, 2, 192177;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 14 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Невского района Санкт-Петербурга;Санкт-Петербург г, Караваевская ул, 40, А, 2, 192177;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №96 общеразвивающего вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Карпинского ул, 24, А, 2, 195252;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №24 компенсирующего вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Карпинского ул, 38, А, 6, 195252;Калининский
"Государственное бюджетное дошкольное образовательное учреждение детский сад № 73 ""Василек"" Василеостровского района Санкт-Петербурга";Санкт-Петербург г, Карташихина ул, 7, А, 199106;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №87 Центрального района Санкт-Петербурга;Санкт-Петербург г, Кирилловская ул, 12, А, 191144;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 49 комбинированного вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Кирилловская ул, 2, А, 191144;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №41 Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, Климов пер, 2, А, 190068;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 45 комбинированного вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Ковенский пер, 15, А, 191014;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 18 комбинированного вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Ковенский пер, 2, А, 191014;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №29 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Кировского района Санкт - Петербурга;Санкт-Петербург г, Козлова ул, 17, A, 2, 198260;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №39 Кировского района Санкт-Петербурга;Санкт-Петербург г, Козлова ул, 33, А, 2, 198260;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №14 комбинированного вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Козлова ул, 47, А, 2, 198260;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №114 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Невского района Санкт-Петербурга;Санкт-Петербург г, Коллонтай ул, 11, А, 2, 193318;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №106 комбинированного вида Невского района Санкт-Петербурга;Санкт-Петербург г, Коллонтай ул, 21, А, 5, 193231;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 35 Невского района Санкт-Петербурга;Санкт-Петербург г, Коллонтай ул, 4, 2, 193318;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад №120 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Невского района Санкт-Петербурга;Санкт-Петербург г, Коллонтай ул, 47, А, 3, 193312;Невский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 55 Приморского района Санкт-Петербурга;Санкт-Петербург г, Коломяжский пр-кт, 5, 2, 197348;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 45 компенсирующего вида Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Вавилова ул, 13, А, 196653;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад №30 для детей раннего возраста Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Вавилова ул, 48, А, 196653;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 59 комбинированного вида Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Вавилова ул, 6, А, 196653;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 47 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Заводской пр-кт, 22, А, 2, 196657;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 21 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Заводской пр-кт, 32, А, 2, 196657;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад №2 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Заводской пр-кт, 46, А, 196657;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 23 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Загородная ул, 53, А, 196652;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 1 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Карла Маркса ул, 10, А, 196653;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 26 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Красная ул, 10, А, 2, 196655;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 58 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Красных Партизан ул, 12, А, 196657;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 9 комбинированного вида Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Ленина пр-кт, 62, А, 196650;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 34 комбинированного вида Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Ленина пр-кт, 77, А, 196650;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 50 комбинированного вида Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Машиностроителей ул, 7, А, 2, 196657;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 46 комбинированного вида Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Металлургов ул, 4, А, 2, 196657;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 42 комбинированного вида Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Металлургов ул, 7, А, 196657;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 61 комбинированного вида Колпинского района Санкт–Петербурга;Санкт-Петербург г, Колпино г, Московская ул, 3, А, 2, 196655;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад №27 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Октябрьская ул, 35, А, 196655;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 4 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Павловская ул, 31, А, 196650;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 55 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Павловская ул, 39, А, 196650;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 49 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Павловская ул, 56, А, 2, 196650;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 16 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Правды ул, 9, А, 196655;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 40 комбинированного вида Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Пролетарская ул, 111, А, 196653;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 53 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Пролетарская ул, 111, А, 2, 196653;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад №43 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Пролетарская ул, 44, А, 196657;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад№ 44 компенсирующего вида Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Пролетарская ул, 52, А, 196657;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 6 комбинированного вида Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Пролетарская ул, 62, А, 2, 196657;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 51 общеразвивающего вида с приоритетным осуществлением художественно-эстетического развития детей Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Раумская ул, 17, А, 196657;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 52 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Раумская ул, 3, А, 196657;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 11 комбинированного вида Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Ремизова ул, 23, А, 196655;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 29 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Тазаева ул, 22, А, 196655;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 10 для детей раннего возраста Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Тверская ул, 38, А, 2, 196655;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 17 комбинированного вида Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Тверская ул, 38, А, 2, 196655;Колпинский
"Санкт- Петербургское государственное автономное дошкольное образовательное учреждение ""Детский сад комбинированного вида № 15 Колпинского района Санкт-Петербурга""";Санкт-Петербург г, Колпино г, Тверская ул, 45, А, 2, 196655;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 33 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Тверская ул, 5, А, 196655;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 57 комбинированного вида Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, Трудящихся б-р, 37, А, 196657;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 35 Колпинского района Санкт-Петербурга;Санкт-Петербург г, Колпино г, ул. Адмиралтейская, 23, А, 196653;Колпинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 41 Пушкинского района Санкт-Петербурга;Санкт-Петербург г, Колпинское (Славянка) ш, 12, А, 3, 196634;Пушкинский
Государственное бюджетное дошкольное образовательное учреждение детский сад №43 Пушкинского района Санкт-Петербурга;Санкт-Петербург г, Колпинское (Славянка) ш, 34, 4, 196634;Пушкинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 48 Пушкинского района Санкт-Петербурга;Санкт-Петербург г, Колпинское ш, 15, А, 196634;Пушкинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 48 Пушкинского района Санкт-Петербурга;Санкт-Петербург г, Колпинское ш, 15, А, 196634;Пушкинский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 54 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Комендантский пр-кт, 13, А, 2, 197371;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №58 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Комендантский пр-кт, 25, А, 2, 197371;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 27 Приморского района Санкт-Петербурга;Санкт-Петербург г, Комендантский пр-кт, 31, А, 4, 197371;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №65 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Комендантский пр-кт, 35, А, 4, 197350;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 76 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Коммуны ул, 26, А, 3, 195298;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №74 присмотра и оздоровления Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Коммуны ул, 44, А, 3, 195030;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 132 комбинированного вида Выборгского района Санкт-Петербурга;Санкт-Петербург г, Композиторов ул, 1, 2, 194356;Выборгский
"Государственное бюджетное дошкольное образовательное учреждение детский сад №119 общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей Выборгского района Санкт-Петербурга ""Незнайка""";Санкт-Петербург г, Композиторов ул, 20, А, 2, 194355;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 104 Выборгского района Санкт- Петербурга;Санкт-Петербург г, Композиторов ул, 25, А, 2, 194358;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 138 комбинированного вида Выборгского района Санкт - Петербурга;Санкт-Петербург г, Композиторов ул, 29, А, 2, 194358;Выборгский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 58 комбинированного вида Центрального района Санкт-Петербурга;Санкт-Петербург г, Конная ул, 32, А, 191167;Центральный
"Государственное бюджетное дошкольное образовательное учреждение детский сад комбинированного вида Центрального района Санкт-Петербурга ""Радуга""";Санкт-Петербург г, Конная ул, 9, А, 191024;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №72 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Петроградского района Санкт-Петербурга;Санкт-Петербург г, Константиновский пр-кт, 12, А, 197110;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад №19 комбинированного вида Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Кораблестроителей ул, 19, А, 3, 199397;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №29 комбинированного вида Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Кораблестроителей ул, 22, А, 3, 199226;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 51 комбинированного вида Василеостровского района Санкт- Петербурга;Санкт-Петербург г, Кораблестроителей ул, 23, А, 3, 199226;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №24 комбинированного вида Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Кораблестроителей ул, 29, А, 3, 199397;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №27 общеразвивающего вида Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Кораблестроителей ул, 29, А, 6, 199397;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №33 Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Кораблестроителей ул, 30, А, 199058;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 38 комбинированного вида Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Кораблестроителей ул, 35, 3, 199397;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 26 комбинированного вида Василеостровского района Санкт-Петербурга;Санкт-Петербург г, Кораблестроителей ул, 37, А, 2, 199397;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №2 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Королёва пр-кт, 17, А, 197349;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 45 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Королева пр-кт, 24, А, 2, 197349;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №44 Приморского района Санкт- Петербурга;Санкт-Петербург г, Королева пр-кт, 27, А, 3, 197349;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 43 компенсирующего вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Королева пр-кт, 29, А, 2, 197349;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 57 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Королева пр-кт, 42, А, 2, 197371;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №50 Приморского района Санкт-Петербурга;Санкт-Петербург г, Королёва пр-кт, 44, А, 4, 197350;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №39 Приморского района Санкт-Петербурга;Санкт-Петербург г, Королёва пр-кт, 70, 197350;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 18 Приморского района Санкт-Петербурга;Санкт-Петербург г, Королёва пр-кт, 72, 1, 197350;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 45 Московского района Санкт-Петербурга;Санкт-Петербург г, Космонавтов пр-кт, 102, 2, 196158;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 20 Московского района Санкт-Петербурга;Санкт-Петербург г, Космонавтов пр-кт, 23, А, 2, 196211;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 2 Московского района Санкт-Петербурга;Санкт-Петербург г, Космонавтов пр-кт, 46, А, 2, 196233;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад №33 Московского района Санкт-Петербурга;Санкт-Петербург г, Космонавтов пр-кт, 50, А, 2, 196233;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 30 Московского района Санкт-Петербурга;Санкт-Петербург г, Космонавтов пр-кт, 62, А, 196233;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 22 Московского района Санкт-Петербурга;Санкт-Петербург г, Космонавтов пр-кт, 78, А, 196233;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 11 Московского района Санкт-Петербурга;Санкт-Петербург г, Костюшко ул, 18, А, 196240;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 28 Московского района Санкт-Петербурга;Санкт-Петербург г, Костюшко ул, 46, А, 196240;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 41 Московского района Санкт-Петербурга;Санкт-Петербург г, Костюшко ул, 78, А, 196240;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад №82 общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Косыгина пр-кт, 30, А, 4, 195298;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №95 Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Косыгина пр-кт, 9, А, 3, 195426;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №5 Приморского района Санкт-Петербурга;Санкт-Петербург г, Котельникова аллея, 5, А, 2, 197341;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 41 Приморского района Санкт-Петербурга;Санкт-Петербург г, Котельникова аллея, 6, А, 2, 197341;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №115 Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, Красноармейская 9-я ул, 9/8, А, 190103;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №14 общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей Красногвардейского района Санкт-Петербурга;Санкт-Петербург г, Краснодонская ул, 7, 195027;Красногвардейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №15 комбинированного вида Красносельского района Санкт-Петербурга;Санкт-Петербург г, Красное Село г, Бронетанковая ул, 13, А, 2, 198324;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад №80 Красносельского района Санкт-Петербурга;Санкт-Петербург г, Красное Село г, Гатчинское ш, 6, А, 3, 198301;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад №18 комбинированного вида Красносельского района Санкт-Петербурга;Санкт-Петербург г, Красное Село г, Гатчинское ш, 9, А, 2, 198320;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад №41 комбинированного вида Красносельского района Санкт-Петербурга;Санкт-Петербург г, Красное Село г, Гвардейская ул, 19, А, 2, 198320;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 4 комбинированного вида Красносельского района Санкт-Петербурга;Санкт-Петербург г, Красное Село г, Массальского ул, 10, А, 198320;Красносельский
