Наименование;Адрес;Район
Государственное бюджетное дошкольное образовательное учреждение детский сад № 34 Московского района Санкт-Петербурга;Санкт-Петербург г, 5-й Предпортовый проезд, 4, А, 2, 196240;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад №3 «Андрейка» Василеостровского района Санкт-Петербурга;Санкт-Петербург г, 7-я В.О. линия, 20, А, 199034;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №31 Василеостровского района Санкт-Петербурга;Санкт-Петербург г, 7-я В.О. линия, 6, А, 199034;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 6 комбинированного вида Василеостровского района Санкт-Петербурга;Санкт-Петербург г, 8-я В.О. линия, 19, А, 199034;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №36 Василеостровского района Санкт - Петербурга;Санкт-Петербург г, 8-я В.О. линия, 65, А, 199004;Василеостровский
Государственное бюджетное дошкольное образовательное учреждение детский сад №133 Адмиралтейского района Санкт-Петербурга;Санкт-Петербург г, 8-я Красноармейская ул, 13, А, 190103;Адмиралтейский
Государственное бюджетное дошкольное образовательное учреждение детский сад №71 Центрального района Санкт-Петербурга;Санкт-Петербург г, 9-я Советская ул, 4-6, Б, 191015;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад №26 компенсирующего вида Красносельского района Санкт-Петербурга;Санкт-Петербург г, Авангардная ул, 25, А, 198205;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад №35 компенсирующего вида Красносельского района Санкт-Петербурга;Санкт-Петербург г, Авангардная ул, 53, А, 2, 198205;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 51 компенсирующего вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Авиаконструкторов пр-кт, 13, А, 2, 197372;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №61 Приморского района Санкт-Петербурга;Санкт-Петербург г, Авиаконструкторов пр-кт, 17, А, 2, 197373;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад №69 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Авиаконструкторов пр-кт, 37, А, 2, 197373;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 78 комбинированного вида Приморского района Санкт-Петербурга;Санкт-Петербург г, Авиаконструкторов пр-кт, 4, А, 2, 197373;Приморский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 99 Московского района Санкт-Петербурга;Санкт-Петербург г, Авиационная ул, 34, А, 196135;Московский
"Частное дошкольное образовательное учреждение Детский сад ""Северная Каисса""";Санкт-Петербург г, Авиационная, 17, А, 196066;Московский
Государственное бюджетное дошкольное образовательное учреждение детский сад №72 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому и художественно- эстетическому развитию детей Кировского района Санкт-Петербурга;Санкт-Петербург г, Автовская ул, 10, А, 198096;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №47 Кировского района Санкт-Петербурга;Санкт-Петербург г, Автовская ул, 11, A, 198096;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад №8 Кировского района Санкт-Петербурга;Санкт-Петербург г, Автовская ул, 23, A, 198152;Кировский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 70 комбинированного вида Кировского района Санкт-Петербурга;Санкт-Петербург г, Автовская ул, 36, A, 198188;Кировский
"Государственное бюджетное дошкольное образовательное учреждение детский сад №89 Красносельского района Санкт-Петербурга ""Бригантина""";Санкт-Петербург г, Адмирала Коновалова ул, 6, А, 1, 198328;Красносельский
Государственное бюджетное дошкольное образовательное учреждение детский сад №72 комбинированного вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Академика Байкова ул, 9, 3 литер А, 195427;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №99 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Калининского района Санкт-Петербурга;Санкт-Петербург г, Академика Байкова ул, 9, А, 2, 195427;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад №78 общеразвивающего вида Калининского района Санкт-Петербурга;Санкт-Петербург г, Академика Константинова ул, 14, А, 195427;Калининский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 3 Петроградского района Санкт-Петербурга;Санкт-Петербург г, Академика Павлова ул, 8, 2, 197022;Петроградский
Государственное бюджетное дошкольное образовательное учреждение детский сад № 103 Центрального района Санкт-Петербурга;Санкт-Петербург г, Александра Невского ул, 7, А, 191167;Центральный
Государственное бюджетное дошкольное образовательное учреждение детский сад № 91 Московского района Санкт-Петербурга;Санкт-Петербург г, Алтайская ул, 19, А, 196066;Московский
